Maturity,Price/Vols
,
1,0.91
1.25,0.84
1.5,0.68
1.75,0.56
2,0.5
2.25,0.46
2.5,0.45
2.75,0.43
3,0.42
3.25,0.4
3.5,0.38
3.75,0.35
4,0.34
4.25,0.33
4.5,0.34
4.75,0.34
5,0.34
5.25,0.33
5.5,0.3
5.75,0.29
6,0.28
6.25,0.27
6.5,0.27
6.75,0.26
7,0.26
7.25,0.26
7.5,0.25
7.75,0.24
8,0.24
8.25,0.24
8.5,0.24
8.75,0.24
9,0.24
9.25,0.24
9.5,0.24
9.75,0.24
10,0.25
10.25,0.24
10.5,0.21
10.75,0.2
11,0.19
11.25,0.19
11.5,0.18
11.75,0.18
12,0.18
12.25,0.18
12.5,0.19
12.75,0.18
13,0.19
13.25,0.18
13.5,0.19
13.75,0.18
14,0.19
14.25,0.19
14.5,0.19
14.75,0.19
15,0.19
15.25,0.18
15.5,0.18
15.75,0.18
16,0.18
16.25,0.18
16.5,0.18
16.75,0.18
17,0.18
17.25,0.18
17.5,0.18
17.75,0.17
18,0.17
18.25,0.17
18.5,0.17
18.75,0.17
19,0.17
19.25,0.17
19.5,0.17
19.75,0.17
20,0.17
20.25,0.17
20.5,0.16
20.75,0.16
21,0.16
21.25,0.16
21.5,0.16
21.75,0.16
22,0.16
22.25,0.16
22.5,0.16
22.75,0.15
23,0.15
23.25,0.15
23.5,0.15
23.75,0.15
24,0.15
24.25,0.15
24.5,0.15
24.75,0.15
25,0.15
25.25,0.15
25.5,0.15
25.75,0.15
26,0.15
26.25,0.15
26.5,0.14
26.75,0.14
27,0.14
27.25,0.14
27.5,0.14
27.75,0.14
28,0.14
28.25,0.14
28.5,0.14
28.75,0.14
29,0.14
29.25,0.14
29.5,0.14
29.75,0.14
30,0.14
