Maturity,Price
0,1
0.25,0.9986
0.5,0.9967
0.75,0.9947
1,0.992
1.25,0.9883
1.5,0.9837
1.75,0.9785
2,0.9724
2.25,0.9652
2.5,0.9578
2.75,0.9497
3,0.9412
3.25,0.9323
3.5,0.9232
3.75,0.914
4,0.9046
4.25,0.8949
4.5,0.8854
4.75,0.876
5,0.8665
5.25,0.8567
5.5,0.8468
5.75,0.8372
6,0.8275
6.25,0.8177
6.5,0.8079
6.75,0.7983
7,0.7888
7.25,0.7791
7.5,0.7699
7.75,0.7608
8,0.7518
8.25,0.7428
8.5,0.7341
8.75,0.7254
9,0.7168
9.25,0.7083
9.5,0.6999
9.75,0.6917
10,0.6834
10.25,0.6752
10.5,0.667
10.75,0.6591
11,0.6512
11.25,0.6433
11.5,0.6355
11.75,0.6279
12,0.6204
12.25,0.6129
12.5,0.6053
12.75,0.5983
13,0.5912
13.25,0.5839
13.5,0.5771
13.75,0.5703
14,0.5636
14.25,0.557
14.5,0.5506
14.75,0.5442
15,0.5379
15.25,0.5317
15.5,0.5256
15.75,0.5197
16,0.5138
16.25,0.508
16.5,0.5022
16.75,0.4967
17,0.4912
17.25,0.4857
17.5,0.4803
17.75,0.4751
18,0.4699
18.25,0.4648
18.5,0.4596
18.75,0.4546
19,0.4497
19.25,0.4448
19.5,0.4401
19.75,0.4354
20,0.4308
20.25,0.4262
20.5,0.4216
20.75,0.4172
21,0.4128
21.25,0.4084
21.5,0.404
21.75,0.3998
22,0.3955
22.25,0.3913
22.5,0.3871
22.75,0.383
23,0.3789
23.25,0.3748
23.5,0.3707
23.75,0.3669
24,0.3629
24.25,0.3589
24.5,0.355
24.75,0.3512
25,0.3474
25.25,0.3436
25.5,0.3399
25.75,0.3362
26,0.3325
26.25,0.3289
26.5,0.3253
26.75,0.3217
27,0.3182
27.25,0.3147
27.5,0.3112
27.75,0.3078
28,0.3044
28.25,0.301
28.5,0.2977
28.75,0.2944
29,0.2912
29.25,0.288
29.5,0.2847
29.75,0.2817
30,0.2786
30.25,0.2755
30.5,0.2725
30.75,0.2695
31,0.2666
31.25,0.2637
31.5,0.2608
31.75,0.258
32,0.2552
32.25,0.2525
32.5,0.2497
32.75,0.2471
33,0.2444
33.25,0.2418
33.5,0.2392
33.75,0.2367
34,0.2342
34.25,0.2317
34.5,0.2292
34.75,0.2268
35,0.2244
35.25,0.2219
35.5,0.2196
35.75,0.2173
36,0.2151
36.25,0.2128
36.5,0.2106
36.75,0.2084
37,0.2063
37.25,0.2042
37.5,0.202
37.75,0.2
38,0.198
38.25,0.1959
38.5,0.1939
38.75,0.192
39,0.19
39.25,0.1881
39.5,0.1862
39.75,0.1844
40,0.1826
40.25,0.1808
40.5,0.179
40.75,0.1773
41,0.1756
41.25,0.1738
41.5,0.1722
41.75,0.1705
42,0.1689
42.25,0.1673
42.5,0.1657
42.75,0.1642
43,0.1626
43.25,0.1611
43.5,0.1596
43.75,0.1581
44,0.1566
44.25,0.1552
44.5,0.1537
44.75,0.1523
45,0.1509
45.25,0.1495
45.5,0.1481
45.75,0.1468
46,0.1454
46.25,0.1441
46.5,0.1427
46.75,0.1414
47,0.1401
47.25,0.1388
47.5,0.1375
47.75,0.1363
48,0.135
48.25,0.1337
48.5,0.1325
48.75,0.1312
49,0.13
49.25,0.1288
49.5,0.1275
49.75,0.1264
50,0.1252
